produto,preço,Parcela
"Memória RAM Corsair Vengeance RGB PRO SL, 32GB (2x16GB), 3200MHz, DDR4, CL16, Branco - CMH32GX4M2E3200C16W","R$ 554,99","ou até
10x de R$ 65,29"
"Memória RAM Corsair Vengeance para AMD, 64GB (2x32GB), 5200MHz, DDR5, CL40, Preto - CMK64GX5M2B5200Z40","R$ 1.299,99","ou até
10x de R$ 144,44"
"Kit Com 3 Ventoinhas Rise Mode Aura frost Pro, 120mm, ARGB, Branco - RM-CF-02-ARGB","R$ 119,99","ou até
5x de R$ 28,23"
"Memória RAM Corsair Vengeance, RGB, 64GB (2X32GB), 5600MHz, DDR5, CL40 Preto - CMH64GX5M2B5600Z40K","R$ 1.449,99","ou até
10x de R$ 170,58"
"Kit Com 5 Ventoinhas Rise Mode Crystal Sound, 120mm, ARGB, Transparente - RM-CS-02-ARGB","R$ 149,99","ou até
7x de R$ 25,20"
"Memória RAM Rise Mode Z, 16GB, 4800MHz, DDR5, CL40, Preto - RM-D5-16G-4800Z","R$ 299,99","ou até
10x de R$ 35,29"
"Memória RAM Rise Mode Z, 16GB, 4800MHz, DDR5, CL40, Branco - RM-D5-16G-4800ZW","R$ 299,99","ou até
10x de R$ 34,88"
"Water Cooler Rise Mode Aura Ice, ARGB, 240mm, AMD/Intel, Branco - RM-WAI-02-ARGB","R$ 419,99","ou até
10x de R$ 49,41"
"Memória RAM Kingston Fury Beast, RGB, 32GB, 6000MHz, DDR5, CL36, Branco - KF560C36BWEA-32","R$ 969,99","ou até
10x de R$ 114,11"
"SSD Kingston DC600M Mixed-Use, 960 GB, SATA III, 2.5"", Leitura: 560 MB/s, Gravação: 530 MB/s, para Servidor, Preto - SEDC600M/960G","R$ 1.384,99","ou até
10x de R$ 162,94"
"Placa-Mãe ASUS TUF GAMING A620M-PLUS, AMD AM5, mATX, DDR5, Preto - 90MB1EZ0-M0EAY0","R$ 899,99","ou até
10x de R$ 104,65"
"Fonte Gamer Rise Mode Zeus, 500W, PFC Ativo, Preto - RM-PSU-01-WT-500","R$ 239,99","ou até
10x de R$ 28,23"
"Fonte MSI MAG A850GL, 850W, 80 Plus Gold, Modular, PFC Ativo, Com Cabo, Preto","R$ 649,99","ou até
10x de R$ 76,46"
"Memória RAM Lexar, 16GB, 3200MHz, DDR4, CL22 - LD4AU016G-B3200GSST","R$ 219,99","ou até
10x de R$ 25,88"
